3ehx_A -2.292_-4.242_-5.148
1fkf_A 22.547_30.267_23.649
3qw5_A 26.988_22.575_55.435
4ith_A -27.843_2.708_11.589
2wxl_A -8.866_-30.880_24.103
1mu6_ABC 17.204_-13.689_22.938
3gc7_A 22.051_14.445_32.067
5mft_A -65.014_17.546_-6.774
1qxz_A 16.413_3.708_3.552
4okg_A 2.230_10.799_24.474
4wov_A 12.716_-0.730_-0.109
1o3e_A 43.690_-1.131_31.057
6f5h_AB 31.546_13.805_-10.860
4qmx_A 21.097_7.376_71.601
5zxk_A 46.787_149.759_59.703
4an9_A -27.486_-21.305_-3.956
3fi3_A -33.103_-36.052_-11.879
5w84_A 9.330_42.846_9.596
2yhy_A -9.597_30.393_17.070
1rnt_A 17.761_33.854_21.705
6h51_A 82.539_62.179_12.210
3b8r_A 10.142_-0.657_57.472
6jav_A 12.488_-13.511_5.024
3h9f_A 0.481_18.242_47.950
1pa9_A 3.554_-10.448_73.490
5b6g_A 2.989_18.021_101.824
1xr9_AB 24.650_27.539_35.738
4bbh_A 24.051_43.044_64.905
1w8l_A 3.660_57.105_54.687
4ggz_A 40.260_-8.695_0.836
6mzw_A -16.634_10.150_11.383
1vzq_HIL 17.092_-12.265_21.393
4ock_A -29.705_12.942_-13.894
6er4_ABCD 58.609_7.744_30.243
3wtk_ABCDE 57.111_-12.975_-26.727
5cxa_A 6.170_27.048_5.593
5zms_AB -4.953_30.129_-10.608
4jin_A 10.921_-2.491_7.857
3vp3_A 5.539_-9.086_-0.339
6exm_AB 65.162_102.586_13.447
2oc1_ABCD 195.618_-6.763_49.602
4bqg_A 1.811_12.435_24.116
5jzi_ABDE -87.431_70.357_23.366
5cep_A 5.802_13.973_31.884
4a4x_A 1.559_-10.104_10.699
2r5d_ABCKL -1.593_-14.194_20.703
5mqe_A -19.085_-27.346_-13.679
3s76_A 15.670_1.957_15.579
1hqh_ABC 37.988_23.755_-10.002
3h98_A 9.191_-8.436_-14.016
5afj_ABCDE 13.199_32.440_10.617
5ld8_AB 8.686_29.375_-8.198
6c2y_ABG -17.007_26.593_18.069
5wii_AC -34.550_-8.842_13.148
5hu9_A -6.347_-27.510_-15.650
4u5t_AB -25.049_35.136_2.558
5twz_A -27.666_-12.058_-18.507
3t70_ABCF -7.772_26.716_-3.945
1lpg_B 6.011_7.470_22.098
4tsx_A -44.460_13.938_28.262
3lpj_AB 23.397_12.249_23.297
4odp_A 45.818_57.730_33.137
3d9p_B 12.731_7.494_-7.459
4pqa_A 17.688_20.230_-6.611
5q13_AB 2.296_22.425_66.463
5emm_AB 23.638_-47.980_-10.199
5hki_AB 16.750_15.493_25.934
4dr9_A 34.835_48.650_2.040
4uxj_EFGH 20.124_-9.716_69.312
3v2w_A 6.417_18.026_-8.567
4fsl_A -3.663_14.064_32.196
5wae_A 40.727_-9.738_-10.144
5apr_E 43.616_65.600_102.166
2hdx_A 14.085_19.215_120.332
2p33_A 23.950_7.981_30.708
4eu3_AB -19.805_-25.280_-29.668
6hub_ABCDEFGHIJKLMNOPQRSTUVWXYZab 61.606_-133.915_38.465
5f60_A 11.978_36.440_75.123
3agm_AB -28.686_17.116_13.899
3hnz_A 61.095_31.948_4.896
4li8_A -24.714_-4.972_9.640
1tbz_HIL 16.376_-13.195_21.270
5tmp_A 20.217_108.527_17.675
1tr7_B 55.870_-12.528_23.627
5cqu_A 4.908_-4.495_-11.820
6aaq_A 26.110_48.933_14.216
3iqq_A 8.329_10.852_12.608
2yg2_A -33.509_3.344_35.599
2f8g_AB 17.140_23.023_18.203
4txe_A 38.996_20.481_23.446
5ne3_A 156.286_160.744_287.492
3di6_AB 50.000_64.010_16.851
2ien_AB 15.844_22.517_17.124
4wk2_ABDEFGHI 23.726_13.667_-21.653
5sz4_A 17.103_6.385_15.281
5ztn_AB 19.554_-32.926_-22.610
1m5d_A 42.081_15.458_15.904
2p09_A 0.666_30.562_17.858
1yda_A -5.045_3.741_15.099
2lbm_A 8.433_3.264_14.923
3q8h_ABC 8.399_-27.770_-21.596
1fhr_A 8.442_-18.454_-15.133
1di9_A 43.833_30.828_30.716
5a0b_ABC -8.169_-2.589_23.801
1hs6_A 15.966_42.632_65.448
3sl4_A -22.468_7.392_29.916
3myg_A -2.639_33.711_80.909
6r1w_B 23.003_17.552_29.372
2vl4_A 27.301_47.486_-1.174
3iny_A -15.471_7.349_52.738
2alv_A 70.730_39.130_22.667
1ec0_AB 13.075_22.951_5.571
5kbr_A 7.368_-31.594_17.786
1sgu_AB 18.120_0.196_10.700
2wkt_ABCD 30.363_-21.416_21.874
2ltx_A -5.598_-0.796_0.939
4gg7_A -4.247_-17.481_13.785
6suo_AB 31.347_11.946_10.839
1bxo_A 20.710_8.655_21.207
3m56_A 46.814_-9.388_-16.793
3jzh_A 17.868_12.603_-28.891
6d4r_A 15.608_-42.275_3.552
6afh_A -37.205_15.852_-12.317
5j79_AB 49.744_53.643_22.813
6czi_A -8.278_13.130_-7.629
4mrg_A 10.705_-4.693_-0.460
3sl0_A 37.735_-16.409_24.155
6g2b_A -3.602_8.688_-20.828
4uuq_A 25.341_53.118_9.569
1gz9_AB 84.202_42.023_31.126
6npi_AB -9.798_-31.491_-16.010
2h13_A -15.577_-28.639_-7.457
6b97_A 31.154_-4.152_13.891
2xbw_AL 9.634_64.013_4.122
5m2q_A -39.437_-32.440_-19.476
1d9i_AI 16.446_-13.878_23.220
4keq_A 0.128_4.838_-11.638
6f6u_AB 29.718_131.959_149.548
2bes_AB 26.942_-9.631_14.995
4msa_A 4.078_-27.821_-33.155
3i25_A -0.532_16.779_34.324
5vdu_A -30.521_16.953_-24.362
5jna_A 37.277_9.186_17.845
5xxf_AC -0.682_21.431_-23.679
5x26_A -51.262_-0.633_-19.484
4bah_ABD 16.672_-13.130_22.623
6udy_A -14.298_7.612_-19.266
4abk_A 6.751_18.475_-21.752
2e9o_A -1.079_7.539_-19.632
1xk5_A 13.783_35.082_9.181
6qhg_A -0.454_5.719_100.018
6b1f_A -10.967_-0.766_1.983
6dhc_A -0.544_-19.129_35.520
1gvu_A 3.632_277.364_16.314
4o62_ABC 25.116_5.192_25.262
6gzl_A 12.893_-18.275_-18.911
3d5m_A 96.733_62.615_55.297
4bo4_ABCD -7.908_1.845_34.311
3kyf_A -3.506_14.443_15.699
4px6_A 1.257_2.106_13.408
1b9j_A 3.123_18.523_14.485
1nju_AB 5.374_69.801_-12.969
2r64_A 24.442_26.444_29.411
3hb4_X 11.175_7.074_-10.416
2wzz_A 6.906_13.886_18.595
2xiz_A -22.389_-34.921_0.798
2zb1_A 42.902_31.338_32.233
6gjb_A 13.724_10.503_42.718
4dew_AB 21.230_42.088_38.347
4fn5_A -54.905_-33.523_-16.277
5alw_A -18.422_-8.518_11.342
4j24_A -4.905_27.856_-12.206
5lvn_A -16.278_18.086_-8.822
2hwo_A 7.800_-6.619_-4.141
3tlh_A -11.719_13.132_32.532
9lpr_A 13.758_35.514_16.682
5fsn_A 14.845_22.365_4.259
3fgc_AB 0.170_16.098_30.802
6hk3_A 4.436_11.422_-33.642
4ad3_A -46.225_70.845_-15.007
2x7s_A 21.905_30.965_19.592
1nf8_A 6.834_20.488_73.279
4dq2_A 51.362_19.386_21.372
3u8n_ABCDE 53.893_23.634_101.555
1bjv_A 1.346_18.464_19.494
4q7s_A 15.717_2.576_14.908
5zcu_AC -23.843_-4.152_32.432
3o9l_AB 4.106_6.801_2.358
4k0u_A -3.986_-18.700_9.398
4agc_A -22.399_0.506_-12.790
3nq9_A -5.058_-6.418_-17.754
2wxd_ABCDEFM 47.550_121.221_50.020
3cow_AB 14.478_9.640_2.521
5n21_A 13.620_3.370_0.339
1thz_AB -11.287_-19.676_-18.986
5hv0_AB -18.967_74.153_-8.463
4y8z_A 41.471_-21.118_28.843
6byk_A -6.222_3.736_-6.018
3k54_A -17.973_-5.422_-1.144
1h1b_ABCDEF 18.728_11.783_22.297
3n5e_AB -32.872_1.742_13.566
3f9y_A -15.815_-7.431_24.416
3rxm_A -2.410_-15.528_16.257
3fc8_AB 19.188_0.421_-4.363
5cxz_A 0.565_-0.011_15.409
6quv_AB -4.992_-16.917_28.147
6ds0_A 20.504_18.598_9.550
5drt_A -36.888_8.236_13.484
4s3e_A 11.951_23.609_-14.593
3hit_A 26.528_69.248_45.344
5wbr_AB -6.513_-0.840_20.176
2w10_A -2.742_-9.399_-3.695
5u0z_AB 6.589_-1.309_24.426
6jdi_A -33.296_-15.231_-1.989
3el0_AB 20.295_-1.219_17.140
4b3d_A 5.935_5.621_-1.258
4bg1_A 22.394_31.091_87.841
6huq_ABCDEFGHIJKLMNOPQRSTUVWXYZab 62.451_-133.835_38.374
4jjs_A -23.536_49.523_56.036
6enx_A -8.873_23.110_4.563
3mo0_A -21.582_-6.918_25.913
4loq_AM 6.573_-7.160_36.327
5wyq_AB -32.240_13.275_-28.139
1nyx_AB 17.239_63.477_13.626
1ce5_A 12.136_28.863_26.442
5nne_A 43.369_13.226_27.228
3bxz_AB 52.276_-4.126_3.902
1eby_AB 13.199_23.087_5.537
5ls6_ABCQ 208.823_-5.285_14.846
6frj_H 19.608_12.361_4.334
2ydi_A -0.683_-3.725_19.845
4e35_A 33.189_24.786_30.344
5fdr_A 37.460_1.393_19.249
5vlp_AHL -26.402_-17.234_-24.581
5kpk_A 13.563_-3.549_-0.732
2ra0_AL 42.987_47.209_21.251
5ivy_A -25.563_21.352_5.416
4acc_AB 17.459_18.827_10.684
3zmu_AB -3.003_49.972_81.959
1t37_A 33.038_31.145_-6.397
2j4a_A 3.974_21.420_32.052
5vfc_A 20.708_-7.846_24.508
4zim_A -1.976_45.938_3.285
6r9u_A -8.590_4.877_-23.143
5nvv_ABC 12.797_52.980_89.347
4o0t_A 18.535_-15.697_13.114
3uxg_A -5.518_39.773_5.061
3hy5_A -3.402_16.012_10.628
3eml_A -9.310_-7.196_56.282
830c_A -4.878_27.354_54.887
3km4_ABC 28.285_-7.872_-11.611
5mhq_A 12.598_-9.465_9.767
4obp_A -16.538_-6.353_29.057
4u0d_ABCDEFOP -45.241_-44.053_-8.885
4rd0_A -31.519_-22.915_18.874
6pz4_A 69.464_47.606_6.591
2f9k_F 15.012_77.820_26.013
3ufa_A -3.801_41.874_36.534
4q9m_AB 91.323_44.407_58.302
6af9_A -36.403_13.390_-12.760
6sal_A -1.222_-43.763_-15.255
4q8x_A 16.003_3.671_14.935
1o39_A 43.624_-1.355_30.700
4tkh_A -6.805_-20.966_2.981
5zg3_AB 33.441_-56.020_19.563
2vmf_A 27.261_47.252_-1.491
4ipf_A 13.905_8.016_37.600
6h4w_A 79.049_-18.604_21.320
6e91_A -3.730_7.355_13.455
1rm8_A 0.457_3.347_48.283
6iam_AC -17.606_12.446_-28.210
3odu_AB 20.860_-7.959_71.035
3w54_A 89.275_35.618_40.647
3zrm_ABXY 105.736_23.874_-11.648
3p5k_A 51.551_29.801_-17.946
6nzp_AB 14.033_-3.492_28.625
3lle_AB -2.642_-0.041_-28.174
4odf_A 7.839_-22.947_-2.384
3m5a_A -31.328_35.239_18.199
4x7l_A 27.262_9.454_4.650
5sxn_AC 46.933_70.452_12.032
5buj_A -15.277_1.844_14.783
4hdc_AB 14.026_1.320_4.259
5d3l_A 17.366_-6.216_-7.048
6cgp_A -20.825_21.542_24.001
6ftp_AB -16.240_3.971_0.991
3hv7_A -0.373_-3.787_-14.771
2y2h_AB 87.778_67.768_60.972
5abe_A 28.731_51.617_248.276
3biz_A 4.466_53.883_23.104
5mtw_ABCDFG 11.822_111.897_185.706
6uwp_A -15.423_-18.423_0.844
6dvn_A -38.968_-6.592_29.328
1gfy_A 10.676_45.674_19.138
4wsk_A 29.193_5.930_55.745
6ntb_ABC 33.851_-12.924_3.528
1ol1_AB 41.629_23.924_1.020
4m0f_ABCD -14.530_-43.662_28.092
4c16_A 46.404_6.845_7.607
2pgj_A 2.736_1.044_3.010
4r3s_AB 1.346_11.873_11.510
6o21_A -20.350_20.126_-12.070
1uto_A 45.363_20.151_51.037
1h37_AB 65.138_71.291_65.518
6dh6_AB 70.939_57.254_16.902
1rv1_ABC 9.327_7.484_12.508
1pgp_A 23.528_29.051_39.689
5aa8_A 30.886_46.210_8.279
4jls_ABCD 3.396_-19.713_-62.167
1gzg_AB 118.974_32.606_-27.575
5vl2_ACFH -37.856_21.941_0.084
2ptz_A 12.149_28.738_36.731
5zop_G -47.262_3.547_-6.940
6hq4_AB -84.429_-20.554_-3.485
1zuc_AB 27.776_-8.039_9.821
4dro_A 31.851_12.960_-19.860
6a6k_A 68.478_-4.067_149.753
6gvh_A -17.396_145.646_27.908
5q1f_AB 12.904_22.897_3.635
1exw_AB 39.009_3.098_59.276
6n6o_A -16.864_39.719_143.964
1ssq_AD 9.173_42.843_49.978
4o0y_A 11.792_-31.522_15.350
1kav_A 33.331_10.766_91.470
6u7p_AB 16.344_22.700_17.096
6uwv_A 23.222_55.615_87.576
6b1c_ABC -40.956_41.759_8.766
5v6y_AI 225.821_-17.558_84.256
4onf_HL 0.040_5.770_36.874
2wed_A 22.030_9.285_22.428
5qj3_ABCF 22.634_-4.566_23.211
2i0v_A 6.863_28.567_7.386
4tun_A -6.318_16.004_2.930
1ugy_ABCDEFGHIJKL 52.236_53.326_67.590
3psd_A 41.705_29.129_33.296
1kpm_A 11.558_18.601_41.080
5l9l_A 82.086_26.519_-1.945
5e1d_A 0.008_32.564_-17.558
3hv5_A 15.220_-3.897_0.161
6cjv_AB -23.870_8.137_11.517
6s0e_AB 5.545_-24.323_56.878
3sdg_A 10.968_28.617_3.236
4jze_HL 10.101_38.526_24.545
6mob_A 17.490_-17.706_3.397
6coj_AB -27.043_2.644_-20.772
5gs9_AB -25.227_12.287_-39.383
1p17_AB 6.537_40.313_-8.511
1yz3_AB 28.218_44.242_17.854
3rhx_B 66.386_3.672_10.531
6fzp_A -3.018_-11.668_12.733
1b5g_HIL 16.093_-13.995_20.898
4pyy_A 16.348_7.026_13.726
1lgw_A 27.135_6.345_4.177
5u0d_A -4.426_3.969_14.767
5cjf_AB 68.026_37.574_-2.315
6b4h_CD 119.876_-12.094_111.753
4x8s_HL 9.673_33.959_28.165
3b5j_A 26.587_5.936_32.134
4gj3_A -7.748_-8.946_-17.689
5kby_ABEFGH 42.428_34.472_14.937
4ty8_A 4.395_-24.274_-21.119
3i7b_A 19.301_15.564_64.075
4l0i_AC -6.659_37.210_-10.332
5ab9_A 91.566_96.394_-43.106
4bcs_AB 69.242_-3.974_32.512
1ik4_ABCDEF 85.509_-14.447_66.317
3rtp_A 22.397_7.318_31.853
4nnw_ABCDEFGHIJKLMNOPQRSTUVWXYZab 60.817_-136.051_38.592
4ufe_HIL 16.006_-15.114_22.316
5f1j_A 32.302_73.679_11.169
3eht_AC 28.876_-38.439_38.224
3eqs_A -7.193_1.878_7.183
2vd1_AB 14.148_4.621_-3.442
2vtl_A 29.597_6.892_65.109
3fyk_X 83.769_260.515_109.605
5a3q_A 21.247_10.950_-5.727
2cbs_A 21.399_27.565_18.489
6dvm_A 29.080_-5.026_12.633
2h21_A 71.929_130.075_52.831
3shb_A -12.650_10.273_13.057
2foy_A -18.221_-0.413_-14.493
2hdr_A 18.338_-8.546_4.826
5o3r_ABC -17.021_10.714_5.670
4qmq_A 23.479_-2.022_136.930
6fzx_A 23.516_62.829_25.302
2l3r_A 11.050_5.399_-8.258
3cph_AG 58.437_23.708_6.188
2qta_AB 25.328_-33.932_12.146
1yy4_ABCD 29.384_36.084_39.041
1xn2_A 42.096_71.211_57.279
2rfh_A 10.840_-9.914_21.904
3fx6_ACE -22.641_0.223_-9.318
4bqh_A -9.343_38.250_10.072
1hk2_A -7.607_-0.419_14.547
4ks2_A -24.624_-19.085_-9.693
6hp0_ABCDEFGHIJ 43.451_-0.148_21.793
5mxo_A -13.747_-13.248_12.100
4yv0_AB -11.709_-16.330_-57.475
3uzc_A 23.243_10.251_31.057
1xlz_A 2.060_1.563_-10.536
5flq_A -3.702_5.299_14.850
5mz8_ABCD 48.089_-67.768_39.994
5dv4_A -31.302_15.274_14.897
6n8x_A 3.817_11.110_220.171
1xnx_AB 10.943_30.619_77.525
4rxd_AC 35.016_4.733_14.538
5gvp_AB 18.040_14.971_95.714
2weg_A 16.205_4.050_15.486
4e1n_A -10.118_45.441_-15.467
6rpg_AB -0.726_-25.221_-15.536
3d4f_A 38.237_62.322_0.946
5cst_A -15.863_-16.317_5.990
4c4e_A -0.268_43.692_129.608
4gkh_A 82.711_46.730_-35.748
5uxn_A 37.752_9.134_46.736
2clh_AB 49.271_25.923_13.647
1lf3_A 15.955_5.779_27.730
4cfw_CD -34.927_16.763_32.596
4mg8_ABCD -4.813_-4.169_22.077
4jht_A -3.083_2.128_1.657
3hac_ABCDEFGHIJK 39.539_50.701_35.687
3rxb_A -1.605_-14.781_16.020
4yuz_AB -4.457_-18.050_-55.593
5lz9_A 26.129_2.868_-2.405
2o3p_A 74.893_36.295_-0.058
2qf6_A 17.983_38.215_4.412
1onp_AB 8.357_-5.494_36.413
4kcg_AB -32.514_11.602_-2.852
5etl_A -12.064_8.199_-8.988
3rbu_ABCDE -34.674_19.981_37.655
1mhw_ACF -1.736_19.932_121.413
1lhd_HIL 16.289_-13.846_21.962
6pl2_A -18.338_-24.591_-16.496
1b8o_A 21.973_88.907_73.971
2zm3_A 36.693_79.894_58.208
2rgu_AB 67.582_68.608_69.958
2y0j_A -21.953_-12.940_37.232
2xaj_AB -6.458_64.421_86.076
2az9_A 14.511_58.048_36.196
3vnt_A 26.487_-28.510_-14.404
5av0_A -23.222_2.292_-12.105
3wha_A -28.332_21.482_-20.817
6fi1_A 18.791_3.997_5.965
5xo7_AF -9.154_-0.693_-3.033
4wh9_A 17.091_-7.686_-3.882
5dp9_A -6.472_-7.386_-1.347
2ai7_A 27.484_-4.046_6.747
4fxp_A -13.385_-10.143_10.941
1f4g_AB 15.010_14.841_34.359
2vio_A 29.988_7.313_27.775
2sim_A 43.992_50.835_49.569
1n1g_A 33.993_53.781_29.942
4jc1_AC 22.031_-9.111_-1.008
6njz_A 4.891_-3.246_22.605
3oe8_ABC -32.010_3.345_19.295
3f78_A 27.367_18.209_6.049
3shz_A 45.469_-14.176_42.040
4p3h_A -26.854_-19.119_-43.375
4r1y_A -22.296_23.703_97.845
3lkh_A 20.329_40.936_46.103
5cfb_ABCDEFG 118.650_131.612_19.949
2j62_AB 31.928_41.661_20.235
3liw_AB 21.663_29.846_21.668
4elg_A 20.761_-29.973_-2.260
4od0_A 15.147_10.577_17.065
6fmn_A 17.127_18.121_17.341
1yye_ABCD 30.427_36.424_39.349
5q1d_AB 13.235_23.398_4.063
3ioe_AB 14.592_9.314_1.895
3gwu_A 26.433_21.229_24.649
5mnc_A -1.604_-14.619_-16.343
3znr_A -6.865_3.345_-16.228
5n70_ 5.835_30.161_11.100
5mja_A -0.957_47.289_-11.386
3mxc_A 4.810_38.654_45.363
4uyd_A 25.855_50.404_-0.208
3zls_A -19.144_29.248_-2.828
6d1j_A 49.950_11.954_45.392
5aln_A 16.938_8.833_10.294
3q6w_A -3.394_-5.074_-15.806
5ih6_A -41.919_21.259_0.928
4dlj_A 24.640_-16.581_-11.601
3coz_AB 14.657_9.736_2.099
2xx4_A -15.775_2.295_-4.433
1svg_AB 11.480_9.954_0.303
3bm6_AB 74.043_7.182_29.584
2bvs_HIL 12.942_-14.978_15.457
1e72_ABCM 47.422_120.776_53.465
5vsc_AB 6.159_16.882_27.784
5tex_A 74.707_35.548_4.097
3fqs_A 0.368_1.272_12.897
5e2v_HL 26.273_9.661_74.678
5may_ABCD 34.536_-6.537_116.195
3fvn_A -7.818_14.873_20.103
1utr_AB 116.570_0.033_0.341
4qwf_ABCDEFGHIJKLMNOPQRSTUVWXYZab 60.757_-134.951_36.942
6gn1_B -12.229_-4.776_-28.287
4gtp_AB 51.173_51.611_-4.289
6eq8_D 136.980_6.456_75.436
2vip_A 26.914_9.550_28.863
2w17_A 2.219_26.611_9.255
4axa_AI 9.199_9.935_2.736
4quo_A -40.734_-12.613_-22.696
4q4r_A 107.332_18.829_16.807
4xty_A -3.648_-4.731_11.099
4qz7_ABCDEFGHIJKLMNOPQRSTUVWXYZab 60.473_-135.357_39.421
6oot_AB -9.635_-15.448_7.455
6a05_AB 20.696_0.874_20.298
6c5t_A 21.500_-25.271_20.819
1juq_A 42.032_9.965_52.658
4txc_A 62.126_88.461_16.215
6odz_A -1.293_7.660_82.725
6d18_A 21.309_17.123_7.958
6uyz_A 101.768_4.620_32.282
4amx_A 0.102_-21.375_-21.195
3hpt_AB 4.591_9.404_28.084
3ayc_BC 22.268_28.539_11.672
6rvk_A -3.666_5.068_14.887
4bo1_ABCD -7.408_-3.714_-33.749
6ccs_AB 29.058_-9.097_32.082
6bsx_A -17.353_-6.528_-49.790
5btr_A -18.409_68.083_15.608
5vi6_A 5.628_-5.461_-32.625
6e9a_AB 16.523_22.719_17.291
1cnw_A -2.022_8.052_14.831
1uyi_A 3.527_11.028_25.000
4cku_AF 0.199_-14.712_-45.647
5xbt_AB 42.043_-90.877_41.159
3rwh_AB 3.111_20.082_-0.263
2jh5_CDH 5.764_19.565_49.502
3qak_A -7.064_-9.186_56.173
1ilh_A 9.538_74.886_-1.792
6i1r_AB -25.176_-28.719_5.673
5m44_A -6.222_15.160_-18.622
1zyr_ABCDEF -27.800_-43.106_-19.441
2xvd_A 11.280_6.984_11.408
1xs7_D 46.974_19.486_108.075
2l84_A 14.674_-0.273_5.012
5y80_AB -13.661_-13.998_20.580
2r3t_AB -11.711_19.623_-17.568
2uw4_AI 7.636_9.452_3.197
4mbi_A 23.098_34.989_-2.148
2fyv_A 29.499_64.801_10.429
3g4l_A 21.748_-4.610_30.930
6s4n_D 0.649_5.809_5.204
3prs_A -1.955_4.191_8.857
1pfy_A 14.505_11.598_24.176
3v2p_ABCDE 7.069_0.312_3.725
3t85_A 16.763_4.297_12.963
4qp6_A -17.093_-35.133_-27.606
3r7n_AB -27.876_9.159_31.475
5ak0_A -41.206_-38.777_-15.890
5fhn_A -17.447_-8.016_9.070
3e0q_ABC 15.957_2.019_30.467
5xpl_AC 10.078_2.501_13.216
2xk7_A -25.766_20.636_-18.393
3bun_ 57.982_-40.780_-8.949
1szd_AB -9.670_33.114_-42.383
3g0f_AB -15.467_73.488_-37.024
3cho_A 28.269_1.336_0.759
3ebl_A 32.753_45.267_14.015
4ivk_A -28.032_-17.601_-23.643
1evh_A 19.966_21.100_18.058
1r1h_A 30.857_44.496_34.389
5fol_A 15.484_3.155_18.793
4ozn_ABC -51.700_44.934_-22.618
4z6i_A 47.090_-1.248_28.754
4luz_A -9.779_11.705_-22.748
4l9i_AB -20.155_-44.545_23.862
1b4z_A 2.660_18.029_14.138
4yt7_HL 6.650_35.507_25.209
6dl9_A 34.952_76.859_62.592
2bz6_HL 11.748_41.830_30.786
1i8j_AB 20.637_88.791_52.113
3g72_A 4.592_5.875_1.881
5lh8_A 27.980_11.315_21.386
2vwx_A 11.529_6.450_12.021
1x9d_AB 2.647_-5.976_0.157
3qs6_A 28.361_0.641_20.999
4e6c_A 3.568_5.477_1.310
4orx_B 13.262_-56.689_2.732
3bcs_A 33.531_22.458_27.560
1v2w_T -1.062_19.537_17.437
3dkg_A 17.035_12.488_60.437
4mk2_A 11.105_22.387_-11.806
2odd_A 0.146_-3.495_8.139
3k5d_A -1.259_5.621_34.022
2jiu_A -10.165_15.689_32.708
185l_A 27.151_6.173_4.260
5inh_ABC 1.162_18.030_39.317
1ax1_ABC 18.121_-1.941_36.731
2v3d_AC 35.224_31.461_-0.916
5e3g_A 13.066_0.896_-6.520
4lrh_A 6.663_21.726_1.833
5l97_A -28.661_-10.330_-0.138
5z99_A 6.794_37.457_-0.723
2onb_A 51.473_-16.634_26.819
6ewe_A 60.518_9.023_27.750
3kab_A 35.487_25.184_25.400
6mdd_A 20.575_40.869_4.301
3tc5_A 38.183_-13.854_15.759
4ea1_A -5.332_-28.394_10.035
4xsz_ABCDEF 33.161_-97.643_-12.144
1nnk_A 48.297_14.120_23.740
4dwg_A 11.874_19.500_174.307
1m48_A 0.808_16.592_-6.629
3rl4_A -25.174_9.010_3.785
4br3_AB -10.878_-14.539_7.333
5nf9_A 23.779_-9.135_0.140
3a5y_AB 0.241_-0.964_-3.527
6ovc_A -11.683_18.207_13.406
3mww_B -27.359_-13.859_-29.621
5gn6_AB -3.868_5.109_31.487
5nu3_A -33.610_51.879_-2.094
6fu1_A 47.003_33.384_84.809
6f96_A 62.109_28.695_62.887
3iss_A -4.105_-7.586_-1.832
5epy_A -14.120_-10.166_14.226
5gp7_A 21.200_44.869_28.722
1i3z_A 20.493_24.584_6.693
5xyx_A 1.953_-32.282_-30.416
5xmx_AB 2.467_-1.161_50.126
3ifo_HL -22.986_26.034_12.128
3dx0_A 31.500_66.357_7.885
5unf_AB 79.781_-3.204_36.700
3rj7_A 17.642_5.884_14.439
3qtv_HIL 16.834_-12.574_22.515
4e90_A 75.576_52.424_40.267
4aa4_A -2.679_2.521_20.863
3ads_AB 16.433_68.434_9.142
4o5b_A 35.878_-32.181_-27.554
3gvu_A 16.589_10.536_19.457
6h38_A 18.951_23.438_4.369
1tcx_AB 12.736_23.466_5.485
3vjm_ABCDEFG 51.839_64.034_34.969
2j94_AB 7.828_5.661_20.967
1c6y_AB 13.615_24.054_6.045
6p86_ABC -12.382_27.053_15.579
4j5d_X 4.080_19.719_18.638
4oks_AB -19.684_-33.620_32.614
3p3h_A 17.182_6.528_14.026
4z2i_A -24.989_1.137_-33.133
2vwo_AL 9.431_63.006_4.036
6djc_AB -24.052_12.870_27.747
6d1h_A 2.537_-12.224_14.267
2vey_A 16.186_18.573_77.407
6ee4_A -14.275_10.367_-14.637
4zjc_A -7.651_0.220_-54.055
2np8_A -4.146_31.913_-5.115
4lxz_A 25.803_-16.112_0.994
1rev_AB 2.285_-37.152_22.539
5nn0_ABCD -10.343_36.391_36.524
6hkz_ABCD 21.779_48.169_43.348
4uu8_A -32.960_-20.781_4.053
5fnd_A 31.610_8.323_27.769
2l65_AB 18.831_-5.836_-1.908
3vqs_A 50.074_32.354_45.839
4kil_A 10.598_21.540_-13.183
4ufl_ABCD 77.990_88.618_18.889
3bra_A -19.631_39.956_93.524
4fcf_A 30.109_26.107_4.144
5u2j_B 55.555_-17.919_-2.317
3ljj_A 18.537_-8.204_10.482
6ets_A -3.027_-8.389_-18.010
5v5o_BC -2.072_7.288_-7.426
6mi6_A 12.209_19.182_62.638
3g3d_AB 22.983_6.442_15.037
3jzr_A 7.849_-8.933_4.962
6b1o_ABCDEFGHIJK 4.586_0.930_34.567
1gi8_AB 9.812_4.690_24.074
5yfz_AB 18.349_15.204_95.777
4gvd_A -10.675_-14.237_1.220
1xbc_A 1.651_2.878_13.185
6dnp_A 34.751_78.832_63.315
1lt5_DEFGHKLMNO 24.340_-3.756_0.264
3buf_A -19.625_40.050_92.967
3rv3_AB 16.273_3.148_29.272
6h5w_ABC -13.134_-7.427_21.179
1bt6_ABD 53.700_26.599_30.971
3ibn_A -3.235_6.505_13.864
5mxk_A 131.247_27.230_3.731
2xn7_AB -3.805_-10.372_4.264
5m55_A 26.568_10.071_-19.293
3w9k_A -10.632_11.822_-19.896
4ng9_HL 4.952_36.472_25.464
2c69_A 11.529_-9.752_10.237
4gny_A 23.483_35.385_18.558
2cm8_A 46.136_14.552_3.360
1bm7_AB 20.741_42.025_6.362
3sz1_B 39.652_-23.307_42.583
2puy_AB 61.142_5.150_38.468
2z4w_AB 30.225_47.283_9.157
4eeh_A 65.079_34.784_24.394
2qlq_A 7.736_6.988_4.162
2vjx_A 27.472_48.009_-1.272
3g2l_A 34.669_23.993_28.132
6cfc_A -40.497_25.004_-4.397
